# {"columns":{"geo":"geo_insee","indicator":25,"time":"week","value":["inc","inc_low","inc_up","inc100","inc100_low","inc100_up"]},"query":{"geo_ref":"insee","indicator":25,"type":"all","period":[202016,202510],"geo":["PAY",1]},"compact":false,"time":"week","source":"r&#233;seau Sentinelles, INSERM, Sorbonne Universit&#233;, https://www.sentiweb.fr","date":"2025-03-12T14:55:20+0100"}
"week","geo_insee","indicator","inc","inc100","inc_up","inc_low","inc100_up","inc100_low"
202106,"FR",25,67350,102,70516,64184,107,97
202107,"FR",25,72160,109,75481,68839,114,104
202108,"FR",25,60706,92,63790,57622,97,87
202109,"FR",25,59174,90,62240,56108,94,85
202110,"FR",25,55862,85,58766,52958,89,80
202111,"FR",25,61498,93,64547,58449,98,88
202112,"FR",25,67672,102,70870,64474,107,98
202113,"FR",25,62840,95,65945,59735,100,90
202114,"FR",25,50962,77,53752,48172,81,73
202115,"FR",25,51542,78,54366,48718,82,74
202116,"FR",25,39083,59,41600,36566,63,55
202117,"FR",25,38092,58,40560,35624,61,54
202118,"FR",25,36212,55,38574,33850,58,51
202119,"FR",25,28284,43,30398,26170,46,40
202120,"FR",25,39789,60,42282,37296,64,56
202121,"FR",25,27342,41,29417,25267,45,38
202122,"FR",25,27648,42,29731,25565,45,39
202123,"FR",25,25041,38,27051,23031,41,35
202124,"FR",25,23370,35,25303,21437,38,32
202125,"FR",25,23108,35,25043,21173,38,32
202126,"FR",25,23032,35,24966,21098,38,32
202127,"FR",25,22821,35,24810,20832,38,32
202128,"FR",25,18877,29,20771,16983,31,26
202129,"FR",25,23487,36,25625,21349,39,32
202130,"FR",25,23762,36,25971,21553,39,33
202131,"FR",25,22509,34,24815,20203,38,31
202132,"FR",25,23403,35,25778,21028,39,32
202133,"FR",25,27033,41,29508,24558,45,37
202134,"FR",25,24059,36,26234,21884,40,33
202135,"FR",25,31904,48,34165,29643,52,45
202136,"FR",25,33075,50,35348,30802,54,47
202137,"FR",25,38605,58,41036,36174,62,55
202138,"FR",25,43310,66,45856,40764,69,62
202139,"FR",25,55276,84,58169,52383,88,79
202140,"FR",25,67597,102,70799,64395,107,97
202141,"FR",25,76862,116,80254,73470,121,111
202142,"FR",25,84155,127,87787,80523,133,122
202143,"FR",25,76611,116,80219,73003,121,111
202144,"FR",25,63494,96,66746,60242,101,91
202145,"FR",25,60582,92,63623,57541,96,87
202146,"FR",25,82793,125,86318,79268,131,120
202147,"FR",25,92476,140,96183,88769,146,134
202148,"FR",25,97340,147,101145,93535,153,142
202149,"FR",25,102464,155,106411,98517,161,149
202150,"FR",25,100780,153,104749,96811,159,147
202151,"FR",25,91069,138,95045,87093,144,132
202152,"FR",25,89427,135,93570,85284,142,129
202201,"FR",25,117397,177,121641,113153,183,171
202202,"FR",25,103180,156,107128,99232,162,150
202203,"FR",25,116096,175,120294,111898,181,169
202204,"FR",25,119231,180,123513,114949,186,173
202205,"FR",25,118960,179,123250,114670,186,173
202206,"FR",25,103036,155,107094,98978,161,149
202207,"FR",25,97905,148,101920,93890,154,142
202208,"FR",25,94026,142,97923,90129,148,136
202209,"FR",25,117565,177,121875,113255,184,171
202210,"FR",25,157581,238,162530,152632,245,230
202211,"FR",25,195712,295,201216,190208,303,287
202212,"FR",25,253949,383,260223,247675,392,373
202213,"FR",25,275593,416,282126,269060,425,406
202214,"FR",25,274599,414,281253,267945,424,404
202215,"FR",25,210283,317,216229,204337,326,308
202216,"FR",25,117600,177,122141,113059,184,170
202217,"FR",25,101684,153,105796,97572,160,147
202218,"FR",25,77291,117,80871,73711,122,111
202219,"FR",25,61727,93,64872,58582,98,88
202220,"FR",25,56757,86,59786,53728,90,81
202221,"FR",25,40688,61,43263,38113,65,57
202222,"FR",25,56727,86,59755,53699,90,81
202223,"FR",25,48649,73,51480,45818,78,69
202224,"FR",25,50430,76,53274,47586,80,72
202225,"FR",25,51055,77,53976,48134,81,73
202226,"FR",25,58125,88,61285,54965,92,83
202227,"FR",25,61189,92,64514,57864,97,87
202228,"FR",25,48557,73,51656,45458,78,69
202229,"FR",25,57658,87,61050,54266,92,82
202230,"FR",25,58772,89,62249,55295,94,83
202231,"FR",25,54632,82,58178,51086,88,77
202232,"FR",25,53031,80,56611,49451,85,75
202233,"FR",25,40710,61,43797,37623,66,57
202234,"FR",25,43280,65,46301,40259,70,61
202235,"FR",25,41430,62,44089,38771,66,58
202236,"FR",25,45102,68,47887,42317,72,64
202237,"FR",25,55244,83,58256,52232,88,79
202238,"FR",25,75591,114,79093,72089,119,109
202239,"FR",25,93385,141,97163,89607,147,135
202240,"FR",25,105586,159,109650,101522,165,153
202241,"FR",25,122262,184,126627,117897,191,178
202242,"FR",25,128074,193,132619,123529,200,186
202243,"FR",25,114336,172,118750,109922,179,166
202244,"FR",25,86212,130,90067,82357,136,124
202245,"FR",25,97311,147,101272,93350,153,141
202246,"FR",25,136710,206,141365,132055,213,199
202247,"FR",25,180805,273,186132,175478,281,265
202248,"FR",25,217673,328,223521,211825,337,319
202249,"FR",25,304199,459,311060,297338,469,448
202250,"FR",25,425402,641,433566,417238,654,629
202251,"FR",25,477721,720,486801,468641,734,707
202252,"FR",25,306679,462,314546,298812,474,451
202301,"FR",25,252612,380,259003,246221,390,370
202302,"FR",25,154797,233,159752,149842,240,225
202303,"FR",25,122811,185,127168,118454,191,178
202304,"FR",25,120616,181,125002,116230,188,175
202305,"FR",25,130997,197,135602,126392,204,190
202306,"FR",25,142241,214,147125,137357,221,207
202307,"FR",25,130892,197,135634,126150,204,190
202308,"FR",25,116865,176,121377,112353,183,169
202309,"FR",25,101827,153,105883,97771,159,147
202310,"FR",25,110434,166,114688,106180,173,160
202311,"FR",25,108186,163,112445,103927,169,156
202312,"FR",25,102638,154,106741,98535,161,148
202313,"FR",25,99266,149,103307,95225,155,143
202314,"FR",25,87853,132,91670,84036,138,126
202315,"FR",25,73161,110,76737,69585,115,105
202316,"FR",25,78976,119,82746,75206,124,113
202317,"FR",25,75930,114,79621,72239,120,109
202318,"FR",25,53623,81,56691,50555,85,76
202319,"FR",25,49984,75,52924,47044,80,71
202320,"FR",25,43366,65,46145,40587,69,61
202321,"FR",25,53693,81,56718,50668,85,76
202322,"FR",25,46550,70,49388,43712,74,66
202323,"FR",25,51979,78,54964,48994,83,74
202324,"FR",25,42504,64,45246,39762,68,60
202325,"FR",25,41636,63,44352,38920,67,59
202326,"FR",25,33142,50,35563,30721,53,46
202327,"FR",25,34727,52,37306,32148,56,48
202328,"FR",25,31013,47,33539,28487,50,43
202329,"FR",25,33820,51,36501,31139,55,47
202330,"FR",25,31428,47,33985,28871,51,43
202331,"FR",25,33715,51,36460,30970,55,47
202332,"FR",25,34529,52,37388,31670,56,48
202333,"FR",25,28225,42,30855,25595,46,39
202334,"FR",25,38753,58,41621,35885,63,54
202335,"FR",25,53031,80,56078,49984,84,75
202336,"FR",25,59437,89,62572,56302,94,85
202337,"FR",25,76463,115,80021,72905,120,110
202338,"FR",25,106436,160,110639,102233,166,154
202339,"FR",25,127204,191,132102,122306,199,184
202340,"FR",25,143033,215,147856,138210,222,208
202341,"FR",25,150896,227,155896,145896,235,219
202342,"FR",25,159805,240,165045,154565,248,233
202343,"FR",25,151993,229,157214,146772,237,221
202344,"FR",25,122516,184,127300,117732,192,177
202345,"FR",25,143626,216,148651,138601,224,209
202346,"FR",25,150006,226,155081,144931,233,218
202347,"FR",25,175721,264,181548,169894,273,256
202348,"FR",25,221858,334,228350,215366,344,324
202349,"FR",25,254664,383,261294,248034,393,373
202350,"FR",25,275871,415,282767,268975,425,405
202351,"FR",25,274550,413,281571,267529,424,402
202352,"FR",25,222770,335,230118,215422,346,324
202401,"FR",25,240894,361,247821,233967,372,351
202402,"FR",25,264891,397,271658,258124,407,387
202403,"FR",25,293839,441,300906,286772,451,430
202404,"FR",25,333639,500,341254,326024,512,489
202405,"FR",25,317276,476,324682,309870,487,465
202406,"FR",25,285271,428,292323,278219,438,417
202407,"FR",25,223462,335,229787,217137,345,326
202408,"FR",25,167995,252,173546,162444,260,244
202409,"FR",25,131076,197,136035,126117,204,189
202410,"FR",25,114835,172,119502,110168,179,165
202411,"FR",25,102472,154,106783,98161,160,147
202412,"FR",25,88340,132,92366,84314,138,126
202413,"FR",25,91748,138,95853,87643,144,131
202414,"FR",25,73863,111,77603,70123,116,105
202415,"FR",25,73825,111,77623,70027,116,105
202416,"FR",25,67850,102,71521,64179,107,96
202417,"FR",25,65319,98,68921,61717,103,93
202418,"FR",25,55610,83,58973,52247,88,78
202419,"FR",25,38530,58,41411,35649,62,53
202420,"FR",25,59499,89,62840,56158,94,84
202421,"FR",25,50548,76,53621,47475,80,71
202422,"FR",25,66076,99,69575,62577,104,94
202423,"FR",25,69521,104,73111,65931,110,99
202424,"FR",25,69582,104,73196,65968,110,99
202425,"FR",25,76781,115,80609,72953,121,109
202426,"FR",25,75542,113,79401,71683,119,107
202427,"FR",25,77362,116,81292,73432,122,110
202428,"FR",25,83151,125,87424,78878,131,118
202429,"FR",25,71198,107,75206,67190,113,101
202430,"FR",25,65816,99,69822,61810,105,93
202431,"FR",25,56521,85,60306,52736,90,79
202432,"FR",25,51616,77,55397,47835,83,72
202433,"FR",25,39524,59,42883,36165,64,54
202434,"FR",25,60393,91,64349,56437,96,85
202435,"FR",25,62124,93,65863,58385,99,88
202436,"FR",25,70929,106,74781,67077,112,101
202437,"FR",25,97399,146,101910,92888,153,139
202438,"FR",25,137943,207,143378,132508,215,199
202439,"FR",25,139200,209,144698,133702,217,200
202440,"FR",25,141849,213,147472,136226,221,204
202441,"FR",25,161860,243,167464,156256,251,234
202442,"FR",25,137825,207,143003,132647,214,199
202443,"FR",25,114761,172,119222,110300,179,165
202444,"FR",25,90707,136,94711,86703,142,130
202445,"FR",25,107207,161,111366,103048,167,155
202446,"FR",25,108094,162,112205,103983,168,156
202447,"FR",25,140388,210,145036,135740,217,204
202448,"FR",25,146351,219,151054,141648,226,212
202449,"FR",25,181823,273,187089,176557,281,265
202450,"FR",25,229576,344,235474,223678,353,335
202451,"FR",25,303934,456,310833,297035,466,445
202452,"FR",25,234355,351,241262,227448,362,341
202501,"FR",25,323517,483,343530,303504,513,453
202502,"FR",25,341954,510,358407,325501,535,486
202503,"FR",25,331291,494,347196,315386,518,471
202504,"FR",25,446496,666,465884,427108,695,637
202505,"FR",25,424834,634,442849,406819,661,607
202506,"FR",25,349172,521,366503,331841,547,495
202507,"FR",25,273448,408,288402,258494,430,386
202508,"FR",25,187830,280,201119,174541,300,260
202509,"FR",25,124474,186,136041,112907,203,168
202510,"FR",25,101035,151,111503,90567,166,135
