ili_related,symptoms,cid
False,[],bafyreiaph2j7koialpw46l5vu3na6wq4wgttltc3fhvvul4n3duyhf4ca4
False,[],bafyreiabqf7iy23mm64wji5mb35oopgwzrxhyzrnrlza6vvtqr2yiinrvm
False,[],bafyreibi4zodsmp3utrtb3kbedkbygkkzjkb72zrg4motu5m5qna6r3geq
False,[],bafyreigcdnj5haapipdr5zmmdskmk4kuuxrzg23jt2zumlv6575atxqs7i
False,[],bafyreiepmwxwqhyr4yfubw23qrpbrsx5oat3shv27rdlskxumj4olv7kfq
False,[],bafyreiel65m2kxyd6dt6tpm4xjs2qqzyjrndkoqhmepeide7wecm6sleeu
False,[],bafyreig63z23xilskm7jn2sdy2yvgvxm7vdvizrqdkqh65wzkyizrdv2cy
False,[],bafyreihom7zxk5eafcfydz5cj7trzeyy2qlxodyj5nuhw727n4i2ckjxve
False,[],bafyreicfvxwwdvwvin7zqlbtq55v76hnvfabgupeik4zb2uf53l76s447m
False,[],bafyreibft4hfdi63wsct4jerr66s5477j77azyymohnastsuyhnczmdo4q
False,[],bafyreib7qbobqvrhwpmsvsop5ds752j4yqv3twdk7izsgotrzwqpbkvyua
False,[],bafyreictptoiwdtnb746y4mvriyblvfuvdacmegtfwfdpzmcw67jirimky
False,[],bafyreickoe72jcv5p5zd5f7hvoimxxpc3mycoxyogf53v6itg7ceeoe7w4
False,[],bafyreib6ehwql2vlhhjjketfn3wpwy4bjktanthx2tzr74kmysqdrpq5la
False,['grippe'],bafyreifsf2dlmuzo72gii2rawacjzizjybpzcobj4g3luwfutkdjscngbq
False,[],bafyreibhzu3frhxcui77h5bcko3bkbi2bxrzj7ppmhltscnw677npszlc4
True,"['froid', 'trop chaud']",bafyreido2gl5h7ym3xkskkqt4qcxjmddcq7ubrzqmawavvs3jjr5glmaz4
False,"['rougeole', 'grippe', 'tuberculose', 'choléra', 'diphtérie', 'peste', 'thifus']",bafyreigq4us7jhutc3ily3ngi7ikww6qvtvu6dvphf5cdpdsqs2srmsqja
False,[],bafyreihsiqp4zrf4in4qudrtdrhd65hpiorucqbsuaa2py6aqnprjphkqu
False,[],bafyreifxlbt7qj7wmpg5zg3cfismxxgwellrxd34jillbfw4hevtplwx6e
False,"['rhume', 'grippe', 'maladie']",bafyreif26sazgu7qlvjr4jyyxap27ysrlcfjruln6rjkh6ry33tiiwjvre
True,['grippe'],bafyreidrd4oercx2ydm3gmke275mbn7s2le3cdx4xrrrngfipwuecjgone
False,[],bafyreic5hp4xpj4ch5uxhpaucppesi6dxpvasmmlb3ryd336scoocygyf4
False,"['migraine', 'fatigue']",bafyreic2ac7yqwqwni7rogthsusjfmznhau3po7a2cobfggzedzq5svnbu
True,"['grippe', 'fiévreux']",bafyreigxsjk24bhsauncvdo5kuluoekcnowbmykwkupxl63zjl7gygmpkm
False,[],bafyreifavu4scgf3fa3shc7khaowqbazhw2g6pu56xgixmvslgdqc6ycua
False,['la grippe'],bafyreif56jwjejhztaasqpcprjw35grxrqurkx4tm2st4x74jr7knlo5im
False,[],bafyreidp2o2fn3amzfsv7yzc4l4o2ljmyrnfr5hmqgr5u3ajxkc5rz3yeq
False,[],bafyreifjgqeo54b4mz4lzozepplwpot65yigzjqwykivdtnmvqhbttox7m
False,[],bafyreigi2nok6nk7w2oiyzk767tfgjtc2awlcayghz3jxgp7dd2m5jtm6q
False,"['otite', 'sinusite']",bafyreibq4vsrh6o4jbehxfzifjmllfy43xlptjcqbqtc3phuxogsmndri4
False,[],bafyreif3v4m3lzml2cuua7alt4b7q4yvtqyabvjgtdq4ijr36ywyxxujle
False,[],bafyreiajc75am2umlr73vpb4uku4si3hbtwkx5erqmy3tluulgtg6zzf4i
False,[],bafyreibpvibajxc5lzsx6ljzuwt6nrytbbsmafkvclndz57bah4xai5s5q
False,[],bafyreiby7nkjpwt2qi5xw4wajavrtalpvxyrrussfr4chbr7ku7roq2vua
False,[],bafyreigefxefyxwc4qae7lrfxst2dr6ylmykxajkakepdi5udnasb3py6e
False,[],bafyreie3ozkzafho2udrmx5zdv7r6xgyqncecebqh5enxilpxqeffhyp5q
False,['asthme'],bafyreidz5o5uk3lfaqfp36zafim7h7i7zcsajefjoqfayo724ariqa5cki
False,[],bafyreiduyeam5lvgo46bh66eqw7hwe36jbbvcgtwovhnqi5eah44s5bc4a
False,[],bafyreiavjqqsnbuvpr7uxokwkau6bdmlvtz5xciqraf6x3l4jrse56nqui
False,[],bafyreiep2557zjlsljbo63a3dgssljvinr2zrufchlq5cwj4hydtwaruue
True,"['fatigue', 'nausées', 'mal de tête', 'courbatures']",bafyreigng7mqcqhs3tipvrpta2sfm5etfmuv5newzggbw3t7z5mjrewdye
False,[],bafyreieixbm6l2bimpu6ip3d6e5mkxai34m337umafiscg65kmlr2jtc7e
False,[],bafyreidexx56be7yp3dorophnxabofdmubq7ixmvwvdq7m4sv6dta7ytfi
False,[],bafyreifndflnnvtbcaq7w37ngb3ja6qb2rs2j5t3y37w3lpuor2uidfvj4
False,[],bafyreidblmqiupgrz3bff6hcle2o5roqtm324d4jgbowiildgilzwqulom
False,[],bafyreihxgfvholnsdufk6sxu7znhlyhhogf4nsllcmr5qmq6n53x5d5br4
False,[],bafyreicqpvl5s2du2totyfi5xoutnfj5fa5zz7nudmkcc7jkhfi75yihk4
False,[],bafyreieg6u2gwmvm3iqunyzpqrxocllrfa7yiq4jurujcuiudbg2heybfi
False,[],bafyreiefvlg532fnxc3ud6cdrjyyzjpn4fqqoclbrxntzd5pjeaqapnbbi
False,[],bafyreic4qaopg5zgp36ljgwtnqxsid57gq5upqkwko7amhg7y33tf27dqi
False,[],bafyreid3vdw4ldpvkw7vah3seuzopkuj2utl42qokywhlefrs2537n3y7u
False,"['grippe', 'pollution']",bafyreicxtbhdcdwpaqwq6hwbhnlb23p7vukq3kzrk7y53ilzxupklgoyc4
False,[],bafyreihfni6r7e2x6s7ykcdwiefo3q4wxsf5x47dta5grbib7xwc4u42uy
False,['fatigue'],bafyreiavlp7rziwvy5puhuuaowm65jrtiuhatn5u3awyu32n2scm7rsuey
False,[],bafyreig2tsnrd3fiyuktiw23hl7e3ynclayiteff5mnc7zarwub7muguzy
False,[],bafyreib7jim3eedvi6op36dwh4hevmcoztypvw5bvnbcw5i4hjjx75mtje
False,"['grippe', ""manquer d'air"", 'suffoquer', 'perdu connaissance']",bafyreicbutjvwj7zqxarlyvfi6uju5nzu5plevy3oqwwfowajd3faoasxe
False,[],bafyreibznle36rgs2bn5sfrcqoiy4puhr7hpqkoel3ze26kdri7kg24due
False,[],bafyreigu3d5q6673bcoypkbbnobygsrepchmjm2w4z3mm4kykn7misohha
False,[],bafyreihzl6huvqvcs3jdlhr726h6et5jrz2u5nz3ziae6yjn2uvenhk4bu
False,[],bafyreiggbcsspef3nwk7ovubry4ccblhpshhphnpe3f2uoznwdtyqpcfyy
False,[],bafyreihjy3bv5wghmvuzoljjk45lnbapzp3oo2f7ns3wowl7u6szbmsg3y
False,[],bafyreifqbggf3e3fdzftiaalzkzizjybbnixdywhwp7s7kqjqh234vsovi
False,[],bafyreidjhx3xqxtuy5ukgtgguvlswad3ymubg6k43mklvfqcnzelktqrqu
False,[],bafyreicqr7ifoadk2bcdbbn4vn263e22j6b76gga4rergh3f53fnsceyae
False,['grippe'],bafyreibthacesud23klbj7idgjylusmjb4osqrlpteutm5b6wntrkgfnxi
False,['grippe'],bafyreib4t37wp3hu6e6gh55lgxgeng3ll3ndcjiyeha6cmdtpvznucdnha
False,[],bafyreiff6b235lhsvjicwnnwpnactx57ktbfvbpy3erntpa34vt6znj6t4
False,[],bafyreifq62ykcedyxyo7xcrsqeju4apfqz52szselcs2vuhwf2xspup6zi
False,[],bafyreiaz3tuupbe4yxa6g5m3ydspphgfit3oq6whrflamxtmgymaehjpny
False,[],bafyreifax52lum72ubwwhd22syjjghkoconchoi6f43ctms6bcglnr5qm4
False,['grippe'],bafyreicm2f6jk5ysncihak46ozcloka5apc7oewcgy7u3mvblpcjwkioq4
False,"[""j'éternue""]",bafyreia2wxcuymmroilllv4rtfmw7txxjm2xf6viomjwfmet5hg7suaboe
False,[],bafyreiadifh3rq74fifv4rtxfuwdxap6krfr223c7ecd3bcr73qpkuiwym
False,[],bafyreialnumoex5p5rimge4zkpbsq6pidpugwpuramthoxe4bfxsuekywq
True,"['fièvre', 'toux grasse']",bafyreiecwycwijwtumh3p653iwo7vlwis4cbwtxi6wx6lpgycaka7rkg6m
False,[],bafyreiev53zidp7qqv4auavmwwamj36hkyeekd77zti4y3mij7hm5xxy3q
False,[],bafyreicwl63bjbuzplwrdc5ecwofnfnzdacv2figmclucxf4yb23j6hlaa
False,[],bafyreiejouzcdbkqdrfvqezcyit7hotzxt2yw6k42d22rzq5bxadj2agtu
False,[],bafyreibjkztyl72o3dkrpvbe4wk6guagpxxo7nikmijukh6fancyjtuabi
False,[],bafyreia723vhf2fjv4glkwyohep6ozlllsmrkurwogzqnhp7mnyb4xzryy
False,[],bafyreid2mhc4pr5sh5p5nhi25oumwlccu4r74adufalqhujkgz2mlvi45e
False,[],bafyreigo36f3msdsc5jc4qusonw2ftnnbbr4gwa3v6p3d3fr7ethtf4hpm
False,"['hernie discale au lombaire', 'pincement du nerf sciatique']",bafyreigybruksqju3ysreoffrcz2s3ktk3vzlsc6ethfs4usuedplnof4i
False,[],bafyreiaxgmnznf77cefwdz3wd3n4fvhb7h6w4rh7ecafm26s5gwg2up33a
False,[],bafyreihlekqwhwer2kwvzyjn7zu3gh4himygsg6khhe3widej6ovglh3gy
False,[],bafyreicmrw6gpes5d47j7inf4itoa67uhktqmjxjwlbvccsvaoig4ryzcy
False,[],bafyreibdwnduy24t6kkbsydr5dp22xpb6kiziy7ky2q3tx3t6wmksmq3ee
False,[],bafyreibquhvyssqnavi5dnq7kmnnhanh2ehaxwycs7ej6ohqgyjn6fcrhm
False,[],bafyreiawddlsh6u5lzcbbpicwxoibo2ha2ar3srngt4ubctzvguvosb2fq
False,"['grippe', 'plus de voix']",bafyreickmulzdqxn33zuyyw7i7dhhvdkilcwv52vdcdmxzmh756ude23xy
False,[],bafyreicxkmnmt62us2sfea5czxb7sammcfb5ga33ox3aaqpsgi7blbhoki
False,"['rhume', 'grippe']",bafyreiefrhloxrnunqlqag5upwawkx2az3mt4z7apmax6ppxs4hh5bmbfe
False,"['grippe intestinale', 'intoxication alimentaire']",bafyreidhpmmq3ase2yni6lubtpqwwzhsxsyfpi2c2pk33qj3767lzdt77i
False,[],bafyreiggn6nlwo23pz5y7pcrpxvmod4apwpps27d3xt5cwusu4mbzqiurq
False,['grippe'],bafyreibqf27eozycoudex3onkx7m7lkan3erfq4jmccqlje6rt5wxhczdi
False,[],bafyreiag5cg7seostpvsy2fbgl44pq6rche2yjn4dwl5hpiio67qcau7qy
False,[],bafyreigx5sisdn4wkvf6v6kzknz43tkqlvw3vmyugtqdiwmsv2dkccbuoa
False,[],bafyreigr6ezaipg567kyxyraolqeadfwwbvczrptcyarmf674cidavk2ja
False,[],bafyreigxznzza47ane4yxhhbac7p3jf2rx5hug6er66oglzp2jthwvafk4
False,[],bafyreig4ll4qj3o34azildmxhgq3t73aqru6zyesuwxarfas46mqzeneim
False,[],bafyreibxkijpgol762eysme3xw75v3tocroip6qlwb3jl7ipkx5rndaioa
False,[],bafyreic363pqdrwrpy4jk53amoy3amdsoie3g3h7bbwn45vskpqxzjrb44
False,[],bafyreihwhnh2f7cczlukd6yqycb3bclq34v24h5effxyg4egksjwxdgor4
False,"['Grippe', 'COVID', 'coqueluche', 'VRS']",bafyreieja34yitb2giv256f7uq5xaqxyo2bg5rknlxizhot6lhle3hxjy4
False,[],bafyreigswt7zsgn4wuuynlryi5vlkc2hkfi37uu5hsm6nt4oxawymlbeem
False,[],bafyreiahh7x5tg6edr56rdwa6y6ukrtid27lfcskpmbbiyeiobti3yocuu
False,['reste de grippe'],bafyreibucizkijjnzhashigci7iqnl77jqfgg7324qksmo5ahfb3uddkga
False,[],bafyreiak6w7qwpopscym3gkvjmlwo7kpfxscumas5xywhyqxbwgdint5mq
False,[],bafyreiaou4thj3quhlgl3k3xvn6swweldegqnqmgf36xmdhedtxhb3vc2i
True,"['migraines', 'courbatures']",bafyreid3mjgxjukulmebfiz4cxtdzfz4hromtkok6dbxnbkc4tiqqzhjoi
False,[],bafyreib5p3zqkt3rotsdzx4gqdt2c3mwxzmyqon3ynmuitg6vyhsznkfce
False,[],bafyreifdum3iowlnjirzz4gzqk6ulvkirreknf6rr5e7syvcec6sufwe3e
False,['grippe'],bafyreihuqwvel5eawssj6z7zzmhiud47qoi2qtectybpfv77zweuriavve
False,[],bafyreif6mck3ot7fb2gtpurlvb56qdyoevmgofg35nueblznlshj23lipq
False,[],bafyreifrklphgdkyuxjnuajtv5zvwst5wosljcw2kppflz2mbvtep7rfei
True,['grippe'],bafyreidgitefi2o5nkhnwi7k3binvb3xkrlrd3wwmaj7q6g7qwfkei4mua
False,[],bafyreif7w46svs4s7y6odfzhaihdblkgaeshiphrdxu43izasfg3s7mxuy
False,[],bafyreiavhyztclhweqhpfidtdgv37byxnqd5rjeikw4w4evvigmsyxrhxi
False,[],bafyreieglbkttdljdb7h5uuud4mt7h2tz6wc6enztbwyot4n5jm5ykrbd4
False,[],bafyreigeyb5tvn6qqu3wvepxhpyjnxnpm3rvvfxfxzxaiuxlya6hhsl56y
True,['fièvres'],bafyreigsc6ulsbwsb5mtqehnpknpr44judwu4id2bpzzighm2pxbhhnv5y
False,[],bafyreie65i2ybtcuuc3zn7k46d7v2jse2vxs44dsjmuhiyei2ercgl7bnq
False,[],bafyreig54vdur3vj2j3iiefdlik64ogk6ryimjbx2gi6k52glfq5nrrrcy
False,[],bafyreiesy5u2kiokbcbbscfwgmvxow57wx7ruaxu7wecgyw3iq64ks4e5i
False,[],bafyreib3gai5o65iout3tb433mkmym75whjt777q3eni3lplx7ezeldvpu
False,[],bafyreif5wjak5rtea3ud4yqso4mwvcbuo32vldotydvf5rmcfodihymjci
False,[],bafyreidgxndgodbaf5ebi5tdkl4i2xm46m23ue7zayw5hl3636mueha5by
False,[],bafyreiffkm6yfewcddvejsy6d6x6odtnxx66h2hhydbaben7kppuuoubfq
False,[],bafyreigtbuutmoomnrwqsxaqx7txwz7br5dkad6zffdbswcocuvhwnfx4y
False,['fatiguère'],bafyreidsg6gfkcllirjvuwemlz7m6vg726lfyg4j7trlhvtnjrdwb7py6i
False,[],bafyreifwo4mzj25ouzmaazev6paiq4vjtct7bl2bxlabtsvyveioatvtlu
True,['fièvre'],bafyreichntvzfgtpe4xyqjcxeuzf6shmgs46532bv2omcnguey6cjojaya
False,['grippe'],bafyreiaizmwzp2zlkvjbfmqzyg3pm3boqhphueiotgmaldyfa3dwv777by
False,[],bafyreihrjdvnk3n5aw2cmtxvjwmnycqw4veqe2co4ofmid6hmsixeohmjq
True,"['grippe', 'bobos physiques', ""court mes réserves d'énergies""]",bafyreig4vizbf56vgf3isohq2rmzncgnw75wizrtvqcv3laieyj5gzqlaq
False,['grippe'],bafyreigh2fgj5tzyj6sfmc47gv4uanerfe3vfw4pzjnbs6r3nc337cemry
False,[],bafyreidxguv5fi4ch5szue2ip4zyxmtmx6jryevzvrma3mhdt2lkytwema
False,[],bafyreiev4ls6vjceop6cfuai72rn2igiksrqaimv2vj6upcqp7sxlfo5vu
True,['la grippe'],bafyreidwazdgujte4e6ex5lkn7jcg43zym43o64w35fqhlbhvepn2ygo5i
False,[],bafyreic57ms3gg3pvjfc4mlkaolgyvftiyxgtnuukdi3a7vfkypnrykjfm
False,['courbatures'],bafyreibsn6x5wq66ozfq7zvdbyuxg2vzp6tbo4o5w7gpfnubjgjmuflbsm
False,['trachéo pharyngite'],bafyreiavauqxx75hzdhiff2tkbi3jhu4toboqyj6ccgwjfqnt42n3frtie
False,[],bafyreibgoqkw3s276av3ztswgb23k5yrt2vvszdjh6cq7kkp5yhc6ngswe
True,['grippe'],bafyreidunwlptuvbdsjah7lgvzy5cknqnjgwew2ogdhocs6bae5jkozkmq
False,[],bafyreibvk74vxuqbb6h2nziq4xcirzfeqolex47la2d6bbc67qrkamcy5i
False,['grippe'],bafyreibteedsy5jjv5josjzojoguhquvkw3lt33m6p4iyvj5zbvro2qw2a
False,[],bafyreif622df3piepptwoajl22i2wvxeddoue4pwqcelzccwa47lbatyqm
False,[],bafyreiaupjzedyt5j6ephhnxqy4wvaubehdxciim55drb63zvexn2o2gwa
False,[],bafyreiaqy6sewzap3zr424cjl5e7dkqbmprpyyhajyqmk7ql5joe4b2it4
False,[],bafyreihvn7vbtgwr3wurayoazcrpqi7aepb5y3ijzhwkvnxlalyy2bns4a
False,[],bafyreihoenyty5vjliyaicmszwooq7adnnqek6lnlor2mvqbl2dvrus5he
False,"['fatigue chronique', 'grippe']",bafyreibxmiwnipfgtk6fejysy64xbqdlxno3hgguxjfqelwrmrtlevu4mi
False,[],bafyreicdrmw7u2dsacbgg3zrxzqes4bubmyse7c4bowbvj4fpaeqdclduy
False,[],bafyreierud3bdmc5hu42vqzl3yqsdfuxufg2stvlx5cuamtbka2xsobhwy
False,[],bafyreief753cbbkzkrsih4hv6bradyibyjdeeulwuc7d5trdbjyjll7jj4
False,[],bafyreidzv7qzfxofm4ta5uskv6q77dlzfged4z2qrhktfbjc3gqwkir52y
False,[],bafyreido3lguvc7cu6lcgr7yzwdoswhk7t6hrb4r3yj56e4lvj2x4dhxse
False,[],bafyreibraehdmg55tpozcask4d2pkmsyl6bfs42awx3rbitdkvcjbbsnwm
False,[],bafyreib3louwivx2w3pimaudyxz6adlnl4xx2dltbvbxjenaeyjdovq2rm
False,[],bafyreih2ow6qtvwicyo3ux4u5f4o4za3fehsq6dp5suuyjpmsdosesstfi
True,['fièvre'],bafyreicubw2v6xwp4edl2a64jtzgthchz7bppn3jdpskb3jpqtyvkot5ni
False,[],bafyreig45imynbevrckunwcsjkqxo3lgwmjqssqcz2knd3bpe5tnvp3lsq
False,[],bafyreieqskhxz2tlwvem5ijjrtoxh6fj4c6jn5g6kfxvoywvkgfy67r2zm
False,[],bafyreig4ul43zr4qa7hop2yql5dncvc3phidu7gm3zf3pjhyojolxdclhu
False,[],bafyreigtmgho6xperx4v5hwzwvxnpjtitzoeguk3swnvreubapfhgt2j6u
False,['grippe intestinale'],bafyreihjagiahreeurjp4cbq3j3usnh5zqig5kzexvdirygktejjpwd5gi
False,[],bafyreihayxfqnrfj46mh5raw5habja4xfjvoo5lhcksylghn3nho37if2q
False,['grippe'],bafyreidd3drh3jc3ws73n6eao5xz7mpg7otcaagfpd3jksll46e2qzv2vm
False,[],bafyreidvg5hx7tdlsdrlsrv2lvb3sayprfywhfwhhozhepbs2rdjbn66ku
False,"['grippe', 'fatigue']",bafyreicqqrg6xswsuxd5446lj76rdqtxlmzen3hv2lmexquzywrev2hjrq
False,"['Infections respiratoires aiguës', 'Grippe zoonotique']",bafyreiarxlw2zlvvqugxwsomrf3qdk2rp5henc6mo7ra7ypdnitzmq2pga
False,[],bafyreifdujepbfcfg4cupmqfb4x4373ab7u4fb6glf4xtlz6vdj3gdwmom
False,[],bafyreicxmmxmn6jzrtuqfrm2kjrjq2sjqlea64gnkqutphrt7fik2ua7he
False,[],bafyreie4r4tb2wsjupd7ridkk6hhzxw73nqkggrntw2mx5x65m7kdi5jbe
False,[],bafyreifjracbnkt2o2him2ae4cjbxf6euw4lovf2wsbyn3bwjsfgaoucqy
False,[],bafyreidtiszhswjvrl6a3mlqifkytvlt5vvefho4cvfwl27quex64neuum
False,['symptômes grippaux'],bafyreiahvvrdvjgkf52oltllqz264yzbfyum2ljmlb63a6pmc6pms3aybu
False,"['fièvre', 'frissons', 'toux', 'maux de tête']",bafyreihe4efbxlc5bem6zaej67ddwsxpy5hhqnucfhetnrvw4mcxcrdaom
False,[],bafyreig7nwqxacchrlnfy7a52k5tcdajfxzjtonkr5hj6yn53jrxlzpbei
False,['grippe'],bafyreiafr7r2rbnhb77xt6qc33ztlfgfifpxvwauskl5tcnpu27wxrrc4i
False,[],bafyreibsvn65of45vlbqruo3gimn3aqmzehyznfnoi5x2k57j3oxvwcvwe
False,[],bafyreiecw6zydj7x74fassaby73wpizsi4z3xzfurcsyctsv5actpffzvq
False,[],bafyreiac7ajfwndovpvevomgqlk3aojj2flamfawk6gru6v5t65dte4nuy
True,['Grippe'],bafyreigzndrb3lgtx7dcevozwe66nfxlyonpm4s7n45xqmoi6a5uc5afym
False,['grippe'],bafyreia6tlfx4bioujsml4n666vgojv5kwwtfrmw7gma3c6ocppjcohubm
True,['grippe'],bafyreihjt2yetogigl35xqm4atitvyo6aa3fwj7y755vwigvypnnqs7u74
True,[],bafyreigyvdhc7s3h6tc5bbbtnogmuyo3rtoigq7r2z2q52zfjaaf4lzfri
False,[],bafyreie2g7d43eqpwiaohysxsywxcjekiqj7mgduwzgbtggwanhunzql7y
False,[],bafyreidrasbwwpy74tswxre2fchce4o2kkd5kfpkd3ttzzemld2zjt2zky
False,"['Fièvre', 'maux de tête', 'douleurs musculaires et articulaires', 'mal de gorge', 'toux', 'écoulement nasal ou congestion nasale', 'fatigue intense']",bafyreibot4vql7ev7nfpmo22aqdyvuzdlbh5xout57cfbpwygptcjii5am
False,[],bafyreih23t5wmvho5koc233pacyuwt52qpoddcdqkpiicqbgtesokqsqry
False,[],bafyreien5w3pq5netgsqncfoaw4sf5b3wv542gcpcnevmsb4h2oj5p4p6q
False,[],bafyreiguxiuihyk7p3aoppyuozilourmhhiwlxvptnnch4onpfticxadcu
False,[],bafyreigfc6pzckespuifyxv4lsve6zohjbzc53vcrmndfhk37iuf6ujhqi
False,[],bafyreicsuxnncabp5jeijr64hzbuuftcctbcisizzplny6mdxgsudzvzea
False,['maux de tête'],bafyreiffn2zgcesx6g67okjp6p3gaqpckvmib3lvuyzyve3h4chmspcawq
True,"['grippe', 'angine']",bafyreih57vsepjpnkhpzrmj4crclzkv3vwvshwrdvzgthdpyy4ropcqnz4
False,[],bafyreidl5jgjq35btxi3rzzpr5tm7wk33xjz2g5qxhd6m2aijuxgnazyyu
False,[],bafyreie7sgperqp2j7m2d5va6h5hclg4wu7pxvpgqfjm3ajugt6simfqrq
False,[],bafyreiaeuddpagxe4x2bnc2j4ofatpat46apnoihd2267lebqg7naga2uq
False,[],bafyreiep2ys6sub46gfaawfhnnlixub4qlghun5ekk6ib46vvgtql7cirm
False,[],bafyreidbvpeyectmipaybpuuqzwmx3zucxqkrbj5fhyct4piqv5kepumpu
False,[],bafyreihrb27tbuyistimvy3fav3q5nf4mtm2wbqr6j2ihdce466ujfwaki
False,[],bafyreie354e7dbxqtt64tu6s6nrgmsaywamaydbcixabhyaxwyshlobru4
False,[],bafyreie2ysrasavv5hk5iikl3zhvyjjokaclamvcfnyvnpkfoo33kp442y
False,[],bafyreidl3a2vxw72zrqfqvy7uo7rf3epgidhc3nktqgayl5gtnpafq5kqi
False,[],bafyreic3657j3uwan2yoqzlo42eyv46eanrzbhfnsfk7ubrllpelguj7zu
False,[],bafyreifh3cxcyh6alaoclpjwwdz7lntuxnudrqviwpbbzg3pgvjh6nzkq4
False,['grippe'],bafyreiaze643raig7ttdau55fw6x66plcmrx4rxuqzfftj35rijtw6k4li
False,[],bafyreihuttttyobapz3ejqhzq73aa46vfe3r6i2zx3btzfcbhwuzq4fcb4
False,[],bafyreievtermzataxh3cvqn4fzrh4xbnbpyt6ps6cd2gcn524lvhmd534q
False,[],bafyreihnqhivkpv4ratbnls3siov3awujchsy4jtkhndte3oy6tmff4rmq
False,[],bafyreifybr5dahugil3kbkwxurn2vfwlllulhau3elcbbfo2dgprtllzf4
False,[],bafyreidu5blq24c2jd7mlnm22n3gb62r5tznbiqt3b6xghbunpku2zygte
False,[],bafyreidf764ytfj7n32hmzujvu7uosdb2mlzkbualczdrxyovu5pktxr3m
False,"['rhino', 'covid', 'grippe']",bafyreiftudmaqiu5e2tog4cfuylki4qpb4m2xp4vx3azbm4h5bxhpwuk6y
False,[],bafyreiarqqqu7c6mjpfetcqcqgl627evsdqf2m5psaggqpqtzxpqcjwcxy
False,[],bafyreiaibchxofm62lwbp7qftikawol77gaqwi5wjdr2e54t5zmlxnstru
False,"['fièvre', 'la grippe']",bafyreidcvxcfcbqhotutmpv55mj2szqv5pneoden66fyucne74qk4rof2y
False,[],bafyreib4dzojadlqoi3n4y54nstqgd2ccrdg7agd6brjpb6q7yh7w7uqxu
False,[],bafyreihy2gv7k2hibnh3fl34qfbfjayzk7xbqrf2hi255ozrtt7ctd24y4
False,[],bafyreigzwxzmuzuc6dxypyeg7l3p3fgheqbfzjipknigx4a7uxrowvahnu
False,['toussent'],bafyreihtobhu73e7ko35fnlguyk5inzczl2lzlvx5tk27bgkabezsogm6u
